datetime,open,high,low,close,volume,hold
2026-01-15 10:00:00,14735.0,14760.0,14640.0,14665.0,59989,842797
2026-01-15 10:45:00,14660.0,14715.0,14660.0,14700.0,18975,843242
2026-01-15 11:15:00,14700.0,14715.0,14665.0,14670.0,11529,844773
2026-01-15 13:45:00,14670.0,14695.0,14630.0,14660.0,29316,841562
2026-01-15 14:15:00,14650.0,14685.0,14630.0,14660.0,32858,838525
2026-01-15 14:45:00,14665.0,14685.0,14625.0,14675.0,22925,836829
2026-01-15 15:00:00,14675.0,14675.0,14660.0,14675.0,4709,835832
2026-01-15 21:30:00,14680.0,14685.0,14600.0,14635.0,47344,833485
2026-01-15 22:00:00,14635.0,14665.0,14625.0,14655.0,14399,832794
2026-01-15 22:30:00,14655.0,14735.0,14645.0,14730.0,21455,832691
2026-01-15 23:00:00,14720.0,14740.0,14690.0,14715.0,21201,833097
2026-01-16 09:30:00,14705.0,14720.0,14665.0,14710.0,22428,834317
2026-01-16 10:00:00,14715.0,14720.0,14630.0,14635.0,26700,833726
2026-01-16 10:45:00,14635.0,14655.0,14585.0,14585.0,99,828647
2026-01-16 11:15:00,14595.0,14620.0,14565.0,14615.0,2820,827001
2026-01-16 13:45:00,14620.0,14670.0,14610.0,14665.0,966,825421
2026-01-16 14:15:00,14670.0,14675.0,14625.0,14645.0,521,827070
2026-01-16 14:45:00,14645.0,14650.0,14570.0,14575.0,5825,825825
2026-01-16 15:00:00,14575.0,14590.0,14560.0,14590.0,484,822611
2026-01-16 21:30:00,14620.0,14645.0,14505.0,14515.0,86491,810701
2026-01-16 22:00:00,14515.0,14575.0,14510.0,14550.0,20721,809784
2026-01-16 22:30:00,14545.0,14555.0,14515.0,14535.0,12838,808499
2026-01-16 23:00:00,14535.0,14545.0,14520.0,14535.0,10695,805000
2026-01-19 09:30:00,14530.0,14600.0,14530.0,14585.0,173598,805246
2026-01-19 10:00:00,14580.0,14595.0,14560.0,14575.0,11648,804726
2026-01-19 10:45:00,14570.0,14600.0,14565.0,14570.0,6209,803678
2026-01-19 11:15:00,14570.0,14620.0,14570.0,14620.0,11230,804696
2026-01-19 13:45:00,14615.0,14625.0,14595.0,14615.0,15987,804928
