Datetime,Open,High,Low,Close,Volume
2026-1-30 13:45,790.5,792.5,788,792,2486
2026-1-30 14:15,791.5,795,789.5,795,14394
2026-1-30 14:45,795,795.5,792,793,13602
2026-1-30 15:00,792.5,793,791,791.5,6661
2026-1-30 21:30,787,792.5,786.5,792,12
2026-1-30 22:00,792,793.5,789.5,790.5,126
2026-1-30 22:30,790.5,791.5,789,790.5,99
2026-1-30 23:00,790.5,791,789,790,557
2026-2-2 9:30,786.5,787.5,783.5,785.5,807
2026-2-2 10:00,785.5,790,784.5,789.5,119
2026-2-2 10:45,790,793,789,790,476
2026-2-2 11:15,790,790,785,788,598
2026-2-2 13:45,787.5,789,786,786,13
2026-2-2 14:15,786,787.5,783.5,784.5,3364
2026-2-2 14:45,782,785.5,781,784,1439
2026-2-2 15:00,784,785,781.5,783,10932
2026-2-2 21:30,788,797,787.5,792,99295
2026-2-2 22:00,792,792.5,788.5,790.5,16067
2026-2-2 22:30,790.5,792.5,789.5,790.5,9528
2026-2-2 23:00,790.5,790.5,788.5,789,4375
2026-2-3 9:30,790,790,787.5,789.5,20033
2026-2-3 10:00,789.5,791,788,789.5,9725
2026-2-3 10:45,788,789.5,776,776,11612
2026-2-3 11:15,776,777.5,774.5,775.5,56405
2026-2-3 13:45,776,779,775,776.5,24506
2026-2-3 14:15,776.5,778,776,776.5,734
2026-2-3 14:45,777,777.5,775,776,5377
2026-2-3 15:00,776,777.5,776,777.5,2718
2026-2-3 21:30,782,786,780.5,783.5,5
2026-2-3 22:00,783,783.5,781,782.5,1
2026-2-3 22:30,782.5,783,781,782,2
2026-2-3 23:00,782,783,781,781.5,51
